Analysis Info,Distance Threshold: 0.1,Angle Threshold: 20.0
GT File,analysis\groundTruth\pylon1_gt.ply
Extracted Edges File,analysis\data\pylon1\preservedEdges.ply

GT Edge Index,Edges Within Distance Threshold,Edges Within Angle Threshold,Avg Distance,Std Distance,Avg Angle,Std Angle
213,2,2,0.069196,0.012084,5.933444,0.667463
214,8,8,0.065683,0.023128,9.298668,3.573201
215,3,3,0.058741,0.023748,17.515418,2.343910
216,23,23,0.055736,0.026079,10.846967,5.151824
217,1,1,0.078407,N/A,7.421002,N/A
218,9,9,0.053676,0.028518,7.292322,3.746488
219,5,5,0.040076,0.025139,5.371643,1.841574
220,17,17,0.064458,0.021901,10.321541,4.057777
221,2,2,0.069507,0.011827,14.090072,1.978163
222,2,2,0.076000,0.019570,7.761241,3.079166
223,8,8,0.041393,0.020591,8.435082,4.424745
224,11,11,0.060149,0.026303,12.275433,5.278033
225,8,8,0.061978,0.020609,11.163432,5.114234
226,2,2,0.078674,0.004996,10.555756,4.922484
227,0,0,N/A,N/A,N/A,N/A
228,2,2,0.052386,0.011800,10.128627,4.236795
229,7,7,0.065766,0.011212,10.845250,1.632423
230,9,9,0.063231,0.026441,8.785875,3.588658
231,5,5,0.052506,0.014913,11.532842,4.024975
232,4,4,0.064892,0.012985,15.015913,3.552016
233,13,13,0.059384,0.020480,13.487413,5.714522
234,1,1,0.083059,N/A,15.603147,N/A
235,2,2,0.060469,0.008180,16.460224,2.603092
236,0,0,N/A,N/A,N/A,N/A
237,12,12,0.049626,0.023792,11.661190,3.296120
238,4,4,0.073675,0.017941,12.953732,4.077591
239,0,0,N/A,N/A,N/A,N/A
240,0,0,N/A,N/A,N/A,N/A
241,3,3,0.062376,0.020312,7.395438,4.335774
242,0,0,N/A,N/A,N/A,N/A
243,10,10,0.066953,0.023531,12.207953,3.342650
244,0,0,N/A,N/A,N/A,N/A
245,0,0,N/A,N/A,N/A,N/A
246,0,0,N/A,N/A,N/A,N/A
247,5,5,0.066496,0.027139,8.122506,3.760660
248,0,0,N/A,N/A,N/A,N/A
249,1,1,0.040929,N/A,16.525270,N/A
250,11,11,0.050203,0.018060,8.375832,5.419928
251,0,0,N/A,N/A,N/A,N/A
252,5,5,0.068572,0.009275,10.691000,1.546409
253,23,23,0.059750,0.026286,11.018992,4.027081
254,10,10,0.052762,0.013018,7.084877,4.293761
255,13,13,0.049128,0.024654,8.214180,5.718479
256,3,3,0.079544,0.012527,8.546820,4.124994
257,0,0,N/A,N/A,N/A,N/A
258,4,4,0.043766,0.011064,10.000502,2.070881
259,7,7,0.042872,0.024189,7.830493,4.556562
260,11,11,0.060657,0.021027,9.000747,2.490215
261,16,16,0.076278,0.020951,9.237047,4.969285
262,3,3,0.076419,0.003162,12.053440,1.055117
263,0,0,N/A,N/A,N/A,N/A
264,19,19,0.066428,0.021694,10.853413,5.329297
265,10,10,0.035403,0.017874,7.707865,4.444556
266,30,30,0.063670,0.025353,12.328215,4.498705
267,1,1,0.075209,N/A,7.314940,N/A
268,24,24,0.049817,0.021714,11.902399,4.775185
